Year,CIR
1972,626.7
1973,584.42
1974,516.29
1975,464.66
1976,433.991
1977,401.39
1978,365.84
1979,318.72
1980,268.75
1981,234.21
1982,214.91
1983,205.1
1984,192.52
1985,182.51
1986,177.24
1987,167.44
1988,156.97
1989,145.13
1990,132.58
1991,123.13
1992,116.57
1993,110.36
1994,105.01
1995,99.42
1996,93.74
1997,89.32
1998,86.42
1999,82.43
2000,76.47
2001,71.62
2002,68.94
2003,65.19
2004,60.88
2005,55.6
2006,50.74
2007,46.56
2008,41.14
2009,41.65
2010,39.36
2011,35.1
2012,32.36
2013,30.45
2014,28.36
2015,28.21
2016,26.61
2017,23.97
2018,21.02
2019,18.86
2020,17.42
2021,12.15
2022,3.56
